person_as_time,img,term,category,score
2019-01-02,Person1_1,birdCall|eyeball|pinkCandle|pumpkinNotes|blueSunglasses|yellowBag,label|label|label|label|label|label,birdCall:0.33860999999999997;eyeball:0.28139000000000003;pinkCandle:0.34569;pumpkinNotes:0.42683000000000004;blueSunglasses:0.32564;yellowBag:0.38394
2019-01-02,Person1_10,birdCall|eyeball|pinkCandle|sign|blueSunglasses|lavenderDie|yellowBag,label|label|label|label|label|label|label,birdCall:0.31486;eyeball:0.34418000000000004;pinkCandle:0.47155;sign:0.26366999999999996;blueSunglasses:0.25055;lavenderDie:0.35128000000000004;yellowBag:0.34441
2019-01-02,Person1_11,birdCall|cupcakePaper|sign,label|label|label,birdCall:0.31745999999999996;cupcakePaper:0.32550999999999997;sign:0.37005
2019-01-02,Person1_2,cloudSign|eyeball|pinkCandle|redWhistle|sign|yellowBag,label|label|label|label|label|label,cloudSign:0.26761999999999997;eyeball:0.28889000000000004;pinkCandle:0.33000999999999997;redWhistle:0.28935;sign:0.42644;yellowBag:0.31146
2019-01-02,Person1_3,birdCall|cloudSign|eyeball|partyFavor|pinkCandle|redWhistle|sign|blueSunglasses,label|label|label|label|label|label|label|label,birdCall:0.32366999999999996;cloudSign:0.28574;eyeball:0.25623;partyFavor:0.42761000000000005;pinkCandle:0.42671000000000003;redWhistle:0.41136999999999996;sign:0.55821;blueSunglasses:0.26771999999999996
2019-01-02,Person1_4,cloudSign|eyeball|pinkCandle|sign|blueSunglasses|yellowBag,label|label|label|label|label|label,cloudSign:0.34820999999999996;eyeball:0.26827;pinkCandle:0.31071;sign:0.25358;blueSunglasses:0.38178;yellowBag:0.5111600000000001
2019-01-02,Person1_5,pinkCandle|hairClip,label|label,pinkCandle:0.34665999999999997;hairClip:0.28204
2019-01-02,Person1_6,birdCall|cloudSign|eyeball|metalKey|pinkCandle|pumpkinNotes|sign,label|label|label|label|label|label|label,birdCall:0.44286000000000003;cloudSign:0.28697;eyeball:0.27365;metalKey:0.39516;pinkCandle:0.49738000000000004;pumpkinNotes:0.49754;sign:0.4938
2019-01-02,Person1_7,eyeball|pumpkinNotes|sign|silverStraw|yellowBalloon|hairClip,label|label|label|label|label|label,eyeball:0.25584;pumpkinNotes:0.50089;sign:0.5333100000000001;silverStraw:0.41412;yellowBalloon:0.41576;hairClip:0.32095
2019-01-02,Person1_8,birdCall|cloudSign|eyeball|metalKey|blueSunglasses|hairClip|lavenderDie|yellowBag,label|label|label|label|label|label|label|label,birdCall:0.34688;cloudSign:0.34394;eyeball:0.3245;metalKey:0.4062;blueSunglasses:0.33216;hairClip:0.36974;lavenderDie:0.30791;yellowBag:0.29958
2019-01-02,Person1_9,metalKey|lavenderDie|yellowBag,label|label|label,metalKey:0.30878;lavenderDie:0.5115;yellowBag:0.31167
2019-01-11,Person10_1,cloudSign|eyeball|metalKey|pinkCandle|yellowBag,label|label|label|label|label,cloudSign:0.42038000000000003;eyeball:0.46997;metalKey:0.34568000000000004;pinkCandle:0.44701;yellowBag:0.27676999999999996
2019-01-11,Person10_10,eyeball|yellowBag,label|label,eyeball:0.31961;yellowBag:0.40247
2019-01-11,Person10_11,eyeball|yellowBag,label|label,eyeball:0.3996;yellowBag:0.36124
2019-01-11,Person10_12,cloudSign|cupcakePaper|eyeball|pinkCandle|pumpkinNotes|sign|hairClip,label|label|label|label|label|label|label,cloudSign:0.51042;cupcakePaper:0.27642;eyeball:0.29295;pinkCandle:0.38914;pumpkinNotes:0.29994;sign:0.29704;hairClip:0.33765
2019-01-11,Person10_13,canadaPencil|cloudSign|partyFavor|pinkCandle|sign,label|label|label|label|label,canadaPencil:0.31585;cloudSign:0.42838000000000004;partyFavor:0.35396;pinkCandle:0.27454;sign:0.32945
2019-01-11,Person10_14,cloudSign|eyeball|pinkCandle|sign,label|label|label|label,cloudSign:0.28246;eyeball:0.37117;pinkCandle:0.48128999999999994;sign:0.51899
2019-01-11,Person10_15,sign,label,sign:0.44922
2019-01-11,Person10_16,canadaPencil|pinkCandle|sign,label|label|label,canadaPencil:0.34404;pinkCandle:0.35424;sign:0.59521
2019-01-11,Person10_17,cloudSign|eyeball|partyFavor|pumpkinNotes|blueSunglasses|hairClip|lavenderDie,label|label|label|label|label|label|label,cloudSign:0.25478;eyeball:0.35547;partyFavor:0.32169000000000003;pumpkinNotes:0.26094;blueSunglasses:0.35003;hairClip:0.5674;lavenderDie:0.58108
2019-01-11,Person10_18,birdCall|cloudSign|metalKey|partyFavor|pinkCandle|pumpkinNotes|blueSunglasses|hairClip|yellowBag,label|label|label|label|label|label|label|label|label,birdCall:0.36059;cloudSign:0.51458;metalKey:0.29215;partyFavor:0.43582;pinkCandle:0.39594;pumpkinNotes:0.3719;blueSunglasses:0.38673;hairClip:0.44633999999999996;yellowBag:0.26281
2019-01-11,Person10_19,pinkCandle|sign,label|label,pinkCandle:0.4586;sign:0.42083999999999994
2019-01-11,Person10_2,canadaPencil|cloudSign|partyFavor|pinkCandle|sign,label|label|label|label|label,canadaPencil:0.31585;cloudSign:0.42838000000000004;partyFavor:0.35396;pinkCandle:0.27454;sign:0.32945
2019-01-11,Person10_20,canadaPencil|cloudSign|eyeball|metalKey|noisemaker|partyFavor|hairClip|yellowBag,label|label|label|label|label|label|label|label,canadaPencil:0.26726;cloudSign:0.43664;eyeball:0.30554000000000003;metalKey:0.27148;noisemaker:0.54538;partyFavor:0.44828;hairClip:0.39494;yellowBag:0.41101000000000004
2019-01-11,Person10_21,cupcakePaper|pinkCandle|sign,label|label|label,cupcakePaper:0.25953000000000004;pinkCandle:0.26691;sign:0.6133
2019-01-11,Person10_22,birdCall|cloudSign|eyeball|pinkCandle|sign,label|label|label|label|label,birdCall:0.33454;cloudSign:0.43138000000000004;eyeball:0.2993;pinkCandle:0.30262;sign:0.28163
2019-01-11,Person10_23,cloudSign|paperPlate|pumpkinNotes|blueSunglasses,label|label|label|label,cloudSign:0.33265;paperPlate:0.34881;pumpkinNotes:0.39816;blueSunglasses:0.32904
2019-01-11,Person10_24,cloudSign|cupcakePaper|eyeball|pumpkinNotes|yellowBag,label|label|label|label|label,cloudSign:0.38064000000000003;cupcakePaper:0.30438000000000004;eyeball:0.37766;pumpkinNotes:0.37154;yellowBag:0.54555
2019-01-11,Person10_25,canadaPencil|cloudSign|pinkCandle|sign|silverStraw,label|label|label|label|label,canadaPencil:0.29372;cloudSign:0.27079000000000003;pinkCandle:0.29975;sign:0.27271999999999996;silverStraw:0.52685
2019-01-11,Person10_3,birdCall|cloudSign|eyeball|pinkCandle|sign,label|label|label|label|label,birdCall:0.33454;cloudSign:0.43138000000000004;eyeball:0.2993;pinkCandle:0.30262;sign:0.28163
2019-01-11,Person10_4,birdCall|eyeball|pinkCandle|sign|yellowBag,label|label|label|label|label,birdCall:0.29549000000000003;eyeball:0.26543;pinkCandle:0.28589000000000003;sign:0.25063;yellowBag:0.27116999999999997
2019-01-11,Person10_5,sign,label,sign:0.7015
2019-01-11,Person10_6,pinkCandle|pumpkinNotes|sign|yellowBag,label|label|label|label,pinkCandle:0.32656999999999997;pumpkinNotes:0.314;sign:0.29623;yellowBag:0.36206
2019-01-11,Person10_7,birdCall|cloudSign|cupcakePaper|eyeball|pumpkinNotes|yellowBag,label|label|label|label|label|label,birdCall:0.32899999999999996;cloudSign:0.27626999999999996;cupcakePaper:0.28494;eyeball:0.27515;pumpkinNotes:0.37026;yellowBag:0.57557
2019-01-11,Person10_8,pumpkinNotes,label,pumpkinNotes:0.42043
2019-01-11,Person10_9,eyeball|yellowBag,label|label,eyeball:0.29381999999999997;yellowBag:0.35062
2019-01-12,Person11_1,cloudSign|cupcakePaper|eyeball|metalKey|partyFavor|pinkCandle|sign,label|label|label|label|label|label|label,cloudSign:0.25928;cupcakePaper:0.31496;eyeball:0.27138;metalKey:0.29804;partyFavor:0.42572;pinkCandle:0.25522;sign:0.53333
2019-01-12,Person11_10,cloudSign|cupcakePaper|eyeball|pinkCandle|sign,label|label|label|label|label,cloudSign:0.39161999999999997;cupcakePaper:0.28643;eyeball:0.40625;pinkCandle:0.35623;sign:0.45009
2019-01-12,Person11_11,cloudSign|cupcakePaper|eyeball|sign,label|label|label|label,cloudSign:0.33737;cupcakePaper:0.31966999999999995;eyeball:0.26191;sign:0.48463999999999996
2019-01-12,Person11_12,cupcakePaper|eyeball|sign,label|label|label,cupcakePaper:0.35406;eyeball:0.31426;sign:0.5061899999999999
2019-01-12,Person11_13,cupcakePaper,label,cupcakePaper:0.25981
2019-01-12,Person11_14,cloudSign|cupcakePaper|sign,label|label|label,cloudSign:0.29628000000000004;cupcakePaper:0.31732;sign:0.34343
2019-01-12,Person11_15,cloudSign|cupcakePaper|sign,label|label|label,cloudSign:0.30221;cupcakePaper:0.35724;sign:0.29298
2019-01-12,Person11_16,pinkCandle|sign|hairClip,label|label|label,pinkCandle:0.26619;sign:0.46626999999999996;hairClip:0.46255
2019-01-12,Person11_17,pinkCandle|sign|yellowBag,label|label|label,pinkCandle:0.47936999999999996;sign:0.5393600000000001;yellowBag:0.3824
2019-01-12,Person11_18,canadaPencil|pinkCandle|sign|yellowBag,label|label|label|label,canadaPencil:0.26247;pinkCandle:0.47603999999999996;sign:0.575;yellowBag:0.45386000000000004
2019-01-12,Person11_19,canadaPencil|cupcakePaper|pinkCandle|sign|silverStraw,label|label|label|label|label,canadaPencil:0.32516;cupcakePaper:0.27918000000000004;pinkCandle:0.33314;sign:0.64507;silverStraw:0.25786
2019-01-12,Person11_2,cloudSign|cupcakePaper|metalKey,label|label|label,cloudSign:0.31318;cupcakePaper:0.33226;metalKey:0.39061999999999997
2019-01-12,Person11_20,cloudSign|cupcakePaper|pinkCandle|sign|lavenderDie,label|label|label|label|label,cloudSign:0.27384000000000003;cupcakePaper:0.40412;pinkCandle:0.30364;sign:0.52341;lavenderDie:0.5314300000000001
2019-01-12,Person11_21,cupcakePaper|sign,label|label,cupcakePaper:0.28943;sign:0.35841
2019-01-12,Person11_22,pinkCandle|sign,label|label,pinkCandle:0.28603;sign:0.52687
2019-01-12,Person11_23,birdCall|pinkCandle|pumpkinNotes|sign|trophy|blueSunglasses|hairClip,label|label|label|label|label|label|label,birdCall:0.30646999999999996;pinkCandle:0.25803000000000004;pumpkinNotes:0.55088;sign:0.37327;trophy:0.36429;blueSunglasses:0.35694000000000004;hairClip:0.41853999999999997
2019-01-12,Person11_24,eyeball|pinkCandle,label|label,eyeball:0.26978;pinkCandle:0.31348000000000004
2019-01-12,Person11_25,canadaPencil|cloudSign|eyeball|pinkCandle|pumpkinNotes|sign,label|label|label|label|label|label,canadaPencil:0.2834;cloudSign:0.46673000000000003;eyeball:0.27748;pinkCandle:0.41039;pumpkinNotes:0.50779;sign:0.36151
2019-01-12,Person11_26,cloudSign|pinkCandle,label|label,cloudSign:0.44418;pinkCandle:0.34529
2019-01-12,Person11_27,cloudSign|pinkCandle|sign|blueSunglasses,label|label|label|label,cloudSign:0.47428000000000003;pinkCandle:0.32048000000000004;sign:0.39348;blueSunglasses:0.26531
2019-01-12,Person11_28,cloudSign|pinkCandle|redWhistle|sign,label|label|label|label,cloudSign:0.55604;pinkCandle:0.3816;redWhistle:0.30446;sign:0.5586800000000001
2019-01-12,Person11_29,cloudSign|sign|hairClip,label|label|label,cloudSign:0.43488999999999994;sign:0.36025999999999997;hairClip:0.28543
2019-01-12,Person11_3,eyeball,label,eyeball:0.39409
2019-01-12,Person11_30,cloudSign|pinkCandle|pumpkinNotes|sign|silverStraw,label|label|label|label|label,cloudSign:0.42112;pinkCandle:0.27455;pumpkinNotes:0.28386999999999996;sign:0.41944;silverStraw:0.29186999999999996
2019-01-12,Person11_4,eyeball|partyFavor|pinkCandle|sign,label|label|label|label,eyeball:0.25094;partyFavor:0.38321;pinkCandle:0.31916;sign:0.5423399999999999
2019-01-12,Person11_5,cupcakePaper|sign|silverStraw,label|label|label,cupcakePaper:0.34297;sign:0.4977;silverStraw:0.4186
2019-01-12,Person11_6,cupcakePaper|sign|silverStraw,label|label|label,cupcakePaper:0.31978;sign:0.46162;silverStraw:0.27971
2019-01-12,Person11_7,cupcakePaper|sign|yellowBag,label|label|label,cupcakePaper:0.33546;sign:0.46876999999999996;yellowBag:0.28367
2019-01-12,Person11_8,cupcakePaper|sign,label|label,cupcakePaper:0.31401;sign:0.28003
2019-01-12,Person11_9,cupcakePaper|eyeball|sign,label|label|label,cupcakePaper:0.28343;eyeball:0.26932;sign:0.26655999999999996
2019-01-13,Person12_1,eyeball|pinkCandle|blueSunglasses,label|label|label,eyeball:0.32144;pinkCandle:0.28631999999999996;blueSunglasses:0.28486
2019-01-13,Person12_10,canadaPencil|eyeball|noisemaker|pinkCandle,label|label|label|label,canadaPencil:0.34051;eyeball:0.27093;noisemaker:0.60441;pinkCandle:0.25290999999999997
2019-01-13,Person12_11,cloudSign|eyeball|pinkCandle|pumpkinNotes|sign,label|label|label|label|label,cloudSign:0.26503000000000004;eyeball:0.2748;pinkCandle:0.29146;pumpkinNotes:0.28861;sign:0.35226
2019-01-13,Person12_12,birdCall|cloudSign|eyeball|pinkCandle|pumpkinNotes|sign|yellowBalloon|blueSunglasses|hairClip|lavenderDie|yellowBag,label|label|label|label|label|label|label|label|label|label|label,birdCall:0.2551;cloudSign:0.42383000000000004;eyeball:0.27935;pinkCandle:0.30163;pumpkinNotes:0.31955;sign:0.49298000000000003;yellowBalloon:0.43854;blueSunglasses:0.51062;hairClip:0.46908;lavenderDie:0.26327;yellowBag:0.6250600000000001
2019-01-13,Person12_13,eyeball,label,eyeball:0.25493000000000005
2019-01-13,Person12_14,cloudSign|yellowBag,label|label,cloudSign:0.2516;yellowBag:0.40091
2019-01-13,Person12_15,cloudSign|eyeball|redWhistle|lavenderDie|yellowBag,label|label|label|label|label,cloudSign:0.2986;eyeball:0.4521;redWhistle:0.31681;lavenderDie:0.30719;yellowBag:0.25545
2019-01-13,Person12_2,cloudSign|cupcakePaper|eyeball,label|label|label,cloudSign:0.30204000000000003;cupcakePaper:0.25109000000000004;eyeball:0.29464
2019-01-13,Person12_3,canadaPencil|eyeball|yellowBag,label|label|label,canadaPencil:0.34026;eyeball:0.25042;yellowBag:0.268
2019-01-13,Person12_4,,,
2019-01-13,Person12_5,eyeball|yellowBag,label|label,eyeball:0.483;yellowBag:0.25604
