Image,object,,,,,,
1,noisemaker,,,,,,
2,gyroscope,,,,,,
3,gyroscope,,,,,,
4,paperPlate,,,,,,
5,cloudSign,,,,,,
6,redDart,,,,,,
7,partyFavor,,,,,,
8,hairRoller,,,,,,
9,cloudSign,paperPlate,partyFavor,redDart,gyroscope,hairRoller,noisemaker
10,cloudSign,paperPlate,,,,,
11,noisemaker,partyFavor,,,,,
12,gyroscope,,,,,,
13,cloudSign,paperPlate,hairRoller,redDart,,,
14,cloudSign,paperPlate,hairRoller,redDart,gyroscope,,
15,cloudSign,paperPlate,hairRoller,redDart,gyroscope,,
16,cloudSign,paperPlate,noisemaker,,,,
17,noisemaker,,,,,,
18,gyroscope,,,,,,
19,cloudSign,,,,,,
20,paperPlate,hairRoller,,,,,
21,redDart,,,,,,
22,cloudSign,noisemaker,,,,,
23,partyFavor,gyroscope,,,,,
24,redDart,hairRoller,,,,,
