Image,object,,,,,
1,noisemaker,yellowBalloon,,,,
2,metalKey,,,,,
3,blueSunglasses,brownDie,,,,
4,noisemaker,,,,,
5,lavenderDie,metalKey,spiderRing,brownDie,,
6,brownDie,metalKey,lavenderDie,yellowBalloon,blueSunglasses,
7,blueSunglasses,spiderRing,,,,
8,blueSunglasses,brownDie,lavenderDie,metalKey,spiderRing,
9,lavenderDie,,,,,
10,blueSunglasses,spiderRing,metalKey,,,
11,noisemaker,brownDie,lavenderDie,blueSunglasses,,
12,yellowBalloon,noisemaker,blueSunglasses,brownDie,spiderRing,metalKey
13,noisemaker,yellowBalloon,,,,
14,blueSunglasses,spiderRing,,,,
15,blueSunglasses,noisemaker,brownDie,metalKey,spiderRing,
