Image,object,,
1,none,,
2,none,,
3,none,,
4,none,,
5,pumpkinNotes,,
6,plaidPencil,,
7,turtle,,
8,metalKey,,
9,miniCards,,
10,cloudSign,,
11,cloudSign,turtle,
12,metalKey,miniCards,
13,cloudSign,,
14,turtle,,
15,miniCards,,
16,plaidPencil,,
17,metalKey,,
18,pumpkinNotes,plaidPencil,turtle
19,miniCards,,
20,turtle,,
21,plaidPencil,,
22,metalKey,,
23,pumpkinNotes,,
24,cloudSign,,
25,cloudSign,,
26,miniCards,,
27,turtle,,
28,pumpkinNotes,,
29,cloudSign,,
30,plaidPencil,,
31,pumpkinNotes,,
32,none,,
33,metalKey,,
34,none,,
35,none,,
36,plaidPencil,,
37,pumpkinNotes,miniCards,
38,turtle,,
39,metalKey,,
40,cloudSign,,
41,none,,
42,none,,
43,turtle,,
44,none,,
45,none,,
46,none,,
47,metalKey,,
48,metalKey,miniCards,
49,yellowBag,,
50,pumpkinNotes,,
51,pumpkinNotes,,
52,miniCards,,
53,metalKey,,
54,miniCards,turtle,
55,pumpkinNotes,plaidPencil,
56,cloudSign,,
