Image,object,,,,,
1,cupcakePaper,rainbowPens,gClamp,redWhistle,brownDie,pinkCandle
2,cupcakePaper,brownDie,gClamp,redWhistle,,
3,rainbowPens,,,,,
4,rainbowPens,redWhistle,,,,
5,redWhistle,rainbowPens,,,,
6,none,,,,,
7,gClamp,,,,,
8,gClamp,,,,,
9,gClamp,,,,,
10,gClamp,,,,,
11,gClamp,,,,,
12,gClamp,,,,,
13,gClamp,,,,,
14,gClamp,,,,,
15,gClamp,,,,,
16,gClamp,,,,,
17,gClamp,,,,,
18,gClamp,,,,,
19,gClamp,,,,,
20,redWhistle,,,,,
21,redWhistle,,,,,
22,redWhistle,,,,,
23,redWhistle,,,,,
24,redWhistle,,,,,
25,redWhistle,,,,,
26,redWhistle,,,,,
27,redWhistle,,,,,
28,redWhistle,,,,,
29,redWhistle,,,,,
30,none,,,,,
31,redWhistle,,,,,
32,redWhistle,,,,,
33,redWhistle,,,,,
34,rainbowPens,,,,,
35,rainbowPens,,,,,
36,rainbowPens,,,,,
37,rainbowPens,,,,,
38,rainbowPens,,,,,
39,rainbowPens,,,,,
40,rainbowPens,,,,,
41,rainbowPens,,,,,
42,rainbowPens,,,,,
43,rainbowPens,,,,,
44,rainbowPens,,,,,
45,rainbowPens,,,,,
46,rainbowPens,,,,,
47,brownDie,,,,,
48,brownDie,,,,,
49,brownDie,,,,,
50,brownDie,,,,,
51,brownDie,,,,,
52,brownDie,,,,,
53,brownDie,,,,,
54,brownDie,,,,,
55,brownDie,,,,,
56,brownDie,,,,,
57,brownDie,,,,,
58,brownDie,,,,,
59,brownDie,,,,,
60,brownDie,,,,,
61,brownDie,,,,,
62,pinkCandle,,,,,
63,pinkCandle,,,,,
64,pinkCandle,,,,,
65,pinkCandle,,,,,
66,pinkCandle,,,,,
67,pinkCandle,,,,,
68,pinkCandle,,,,,
69,pinkCandle,,,,,
70,pinkCandle,,,,,
71,pinkCandle,,,,,
72,pinkCandle,,,,,
73,cupcakePaper,,,,,
74,cupcakePaper,,,,,
75,cupcakePaper,,,,,
76,cupcakePaper,,,,,
77,cupcakePaper,,,,,
78,cupcakePaper,,,,,
79,cupcakePaper,,,,,
80,cupcakePaper,,,,,
81,cupcakePaper,,,,,
82,cupcakePaper,,,,,
83,cupcakePaper,,,,,
