Image,object,,,,,,
1,carabiner,silverStraw,rubiksCube,rainbowPens,giftBag,metalKey,
2,rainbowPens,silverStraw,metalKey,,,,
3,rainbowPens,silverStraw,metalKey,,,,
4,rainbowPens,,,,,,
5,metalKey,,,,,,
6,carabiner,silverStraw,rubiksCube,rainbowPens,giftBag,metalKey,
7,rainbowPens,silverStraw,metalKey,,,,
8,rainbowPens,silverStraw,metalKey,,,,
9,rainbowPens,,,,,,
10,metalKey,,,,,,
11,carabiner,rainbowPens,rubiksCube,eyeball,metalKey,silverStraw,
12,carabiner,rainbowPens,rubiksCube,eyeball,metalKey,silverStraw,
13,rainbowPens,rubiksCube,eyeball,giftBag,,,
14,rainbowPens,rubiksCube,eyeball,carabiner,,,
15,rainbowPens,rubiksCube,metalKey,,,,
16,rainbowPens,rubiksCube,metalKey,eyeball,giftBag,silverStraw,
17,rainbowPens,rubiksCube,metalKey,carabiner,eyeball,,
18,rainbowPens,rubiksCube,eyeball,metalKey,giftBag,silverStraw,carabiner
