Image,object,,,
1,rainbowPens,glassBead,,
2,rainbowPens,rubiksCube,,
3,rainbowPens,glassBead,stickerBox,redBow
4,redBow,,,
5,redBow,stickerBox,,
6,stickerBox,,,
7,rubiksCube,,,
8,glassBead,,,
9,rainbowPens,,,
10,rubiksCube,,,
11,rubiksCube,,,
12,rubiksCube,,,
13,redBow,,,
14,redBow,,,
15,stickerBox,,,
16,rainbowPens,,,
17,rubiksCube,,,
18,glassBead,,,
19,rainbowPens,,,
20,rainbowPens,rubiksCube,redBow,glassBead
21,none,,,
22,none,,,
23,rainbowPens,,,
24,rubiksCube,,,
25,stickerBox,,,
26,glassBead,,,
27,glassBead,,,
28,rainbowPens,,,
29,rainbowPens,,,
30,rainbowPens,glassBead,,
31,rubiksCube,,,
32,stickerBox,,,
33,rainbowPens,,,
34,glassBead,,,
35,rubiksCube,,,
36,rainbowPens,,,
37,rainbowPens,rubiksCube,,
38,glassBead,,,
39,glassBead,,,
40,glassBead,,,
41,rainbowPens,,,
42,rainbowPens,,,
43,rainbowPens,,,
44,rainbowPens,glassBead,,
45,rainbowPens,,,
46,rainbowPens,,,
47,rainbowPens,,,
48,rubiksCube,,,
49,rubiksCube,,,
50,rubiksCube,,,
51,rainbowPens,,,
52,rainbowPens,rubiksCube,,
53,none,,,
54,glassBead,,,
55,stickerBox,,,
56,rainbowPens,,,
57,rainbowPens,,,
58,rubiksCube,,,
59,stickerBox,,,
60,blueSunglasses,,,
61,birdCall,,,
62,blueSunglasses,,,
63,blueSunglasses,,,
64,blueSunglasses,,,
