Image,object,,,
1,eyeball,,,
2,eyeball,sign,,
3,eyeball,sign,legoBracelet,
4,eyeball,pinkEraser,legoBracelet,
5,redWhistle,pinkEraser,legoBracelet,
6,redWhistle,pinkEraser,legoBracelet,
7,eyeball,sign,,
8,eyeball,pinkEraser,legoBracelet,
9,none,,,
10,none,,,
11,none,,,
12,redWhistle,,,
13,redWhistle,legoBracelet,,
14,none,,,
15,none,,,
16,sign,,,
17,sign,pinkEraser,,
18,eyeball,legoBracelet,,
19,yellowBalloon,,,
20,none,,,
21,pinkEraser,,,
22,yellowBalloon,,,
23,yellowBalloon,,,
24,redWhistle,,,
25,redWhistle,eyeball,,
26,pinkEraser,,,
27,pinkEraser,,,
28,eyeball,,,
29,eyeball,sign,,
30,eyeball,sign,,
31,eyeball,,,
32,yellowBalloon,,,
33,yellowBalloon,,,
34,none,,,
35,eyeball,sign,pinkEraser,
36,eyeball,,,
37,eyeball,,,
38,pinkEraser,redWhistle,,
39,pinkEraser,,,
40,eyeball,,,
41,eyeball,pinkEraser,legoBracelet,
42,eyeball,pinkEraser,legoBracelet,redWhistle
43,eyeball,legoBracelet,,
