"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"12:27:08.3687395 PM","System","4","Thread Create","","SUCCESS","Thread ID: 1852"
"12:27:08.3723193 PM","lsass.exe","672","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"12:27:08.3723296 PM","lsass.exe","672","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"12:27:08.3723397 PM","lsass.exe","672","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"12:27:08.3723545 PM","lsass.exe","672","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"12:27:08.3723589 PM","lsass.exe","672","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"12:27:08.3723726 PM","lsass.exe","672","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"12:27:08.3723852 PM","lsass.exe","672","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"12:27:08.3724525 PM","lsass.exe","672","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"12:27:08.3725307 PM","lsass.exe","672","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"12:27:08.3725402 PM","lsass.exe","672","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"12:27:08.3725495 PM","lsass.exe","672","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"12:27:08.3725626 PM","lsass.exe","672","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"12:27:08.3725668 PM","lsass.exe","672","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
