"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"2:35:02.7430124 PM","svchost.exe","548","RegCreateKey","HKLM\System\CurrentControlSet\Control\DeviceClasses","REPARSE","Desired Access: All Access"
"2:35:02.7430235 PM","svchost.exe","548","RegCreateKey","HKLM\System\CurrentControlSet\Control\DeviceClasses","SUCCESS","Desired Access: All Access, Disposition: REG_OPENED_EXISTING_KEY"
"2:35:02.7485521 PM","svchost.exe","816","RegCreateKey","HKCR","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access, Disposition: REG_OPENED_EXISTING_KEY"
"2:35:02.7485933 PM","svchost.exe","816","RegCreateKey","HKCR","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access, Disposition: REG_OPENED_EXISTING_KEY"
"2:35:02.7486067 PM","svchost.exe","816","RegCreateKey","HKCR","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access, Disposition: REG_OPENED_EXISTING_KEY"
"2:35:02.7503511 PM","svchost.exe","816","RegCreateKey","HKCR","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access, Disposition: REG_OPENED_EXISTING_KEY"
"2:35:02.7503862 PM","svchost.exe","816","RegCreateKey","HKCR","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access, Disposition: REG_OPENED_EXISTING_KEY"
"2:35:02.7503996 PM","svchost.exe","816","RegCreateKey","HKCR","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access, Disposition: REG_OPENED_EXISTING_KEY"
"2:35:02.7541503 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\System32\wbem\wbemprox.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"2:35:02.7542352 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\System32\wbem\wbemprox.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"2:35:02.7543396 PM","wmiprvse.exe","4344","Load Image","C:\Windows\System32\wbem\wbemprox.dll","SUCCESS","Image Base: 0x70cf0000, Image Size: 0xa000"
"2:35:02.7567485 PM","wmiprvse.exe","4344","RegCreateKey","HKLM\Software\Microsoft\WBEM\WDM","SUCCESS","Desired Access: Set Value, Disposition: REG_OPENED_EXISTING_KEY"
"2:35:02.7576258 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\System32\advapi32.dll","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"2:35:02.7578121 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\System32\en-US\advapi32.dll.mui","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"2:35:02.7579148 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\System32\drivers\acpi.sys","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"2:35:02.7580940 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\System32\drivers\en-US\acpi.sys.mui","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"2:35:02.7581772 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\System32\drivers\ndis.sys","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"2:35:02.7584154 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\System32\drivers\en-US\ndis.sys.mui","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"2:35:02.7585025 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\System32\drivers\mssmbios.sys","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"2:35:02.7586669 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\System32\drivers\en-US\mssmbios.sys.mui","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"2:35:02.7587519 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\System32\drivers\intelppm.sys","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"2:35:02.7589179 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\System32\drivers\en-US\intelppm.sys.mui","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"2:35:02.7589998 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\System32\drivers\monitor.sys","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"2:35:02.7591566 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\System32\drivers\en-US\monitor.sys","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"2:35:02.7592106 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\system32\DRIVERS\en\monitor.sys","PATH NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"2:35:02.7593125 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\System32\advapi32.dll","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"2:35:02.7598360 PM","wmiprvse.exe","4344","RegCreateKey","HKLM\Software\Microsoft\WBEM\WDM","SUCCESS","Desired Access: Set Value, Disposition: REG_OPENED_EXISTING_KEY"
"2:35:02.7608110 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\System32\en-US\advapi32.dll.mui","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"2:35:02.7611387 PM","wmiprvse.exe","4344","RegCreateKey","HKLM\Software\Microsoft\WBEM\WDM","SUCCESS","Desired Access: Set Value, Disposition: REG_OPENED_EXISTING_KEY"
"2:35:02.7619568 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\System32\drivers\acpi.sys","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"2:35:02.7621690 PM","wmiprvse.exe","4344","RegCreateKey","HKLM\Software\Microsoft\WBEM\WDM","SUCCESS","Desired Access: Set Value, Disposition: REG_OPENED_EXISTING_KEY"
"2:35:02.7629411 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\System32\drivers\en-US\acpi.sys.mui","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"2:35:02.7631559 PM","wmiprvse.exe","4344","RegCreateKey","HKLM\Software\Microsoft\WBEM\WDM","SUCCESS","Desired Access: Set Value, Disposition: REG_OPENED_EXISTING_KEY"
"2:35:02.7639930 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\System32\drivers\ndis.sys","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"2:35:02.7651777 PM","wmiprvse.exe","4344","CreateFile","C:\Windows\System32\drivers\ndis.sys","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
