"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"3:39:44.0278054 PM","svchost.exe","564","RegCreateKey","HKLM\System\CurrentControlSet\Control\DeviceClasses","REPARSE","Desired Access: All Access"
"3:39:44.0278180 PM","svchost.exe","564","RegCreateKey","HKLM\System\CurrentControlSet\Control\DeviceClasses","SUCCESS","Desired Access: All Access, Disposition: REG_OPENED_EXISTING_KEY"
"3:39:44.0278256 PM","svchost.exe","564","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{9527e630-d0ae-497b-adce-e80ab0175caf}","SUCCESS","Desired Access: All Access"
"3:39:44.0278308 PM","svchost.exe","564","RegCloseKey","HKLM\System\CurrentControlSet\Control\DeviceClasses","SUCCESS",""
"3:39:44.0278341 PM","svchost.exe","564","RegQueryValue","HKLM\System\CurrentControlSet\Control\DeviceClasses\{9527e630-d0ae-497b-adce-e80ab0175caf}\Default","NAME NOT FOUND","Length: 44"
"3:39:44.0278362 PM","svchost.exe","564","RegEnumKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{9527e630-d0ae-497b-adce-e80ab0175caf}","SUCCESS","Index: 0, Name: ##?#VMBUS#{2dd1ce17-079e-403c-b352-a1921ee207ee}#5&296c0f0e&0&{2dd1ce17-079e-403c-b352-a1921ee207ee}#{9527e630-d0ae-497b-adce-e80ab0175caf}"
"3:39:44.0278404 PM","svchost.exe","564","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{9527e630-d0ae-497b-adce-e80ab0175caf}\##?#VMBUS#{2dd1ce17-079e-403c-b352-a1921ee207ee}#5&296c0f0e&0&{2dd1ce17-079e-403c-b352-a1921ee207ee}#{9527e630-d0ae-497b-adce-e80ab0175caf}","SUCCESS","Desired Access: Read"
"3:39:44.0278448 PM","svchost.exe","564","RegEnumKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{9527e630-d0ae-497b-adce-e80ab0175caf}\##?#VMBUS#{2dd1ce17-079e-403c-b352-a1921ee207ee}#5&296c0f0e&0&{2dd1ce17-079e-403c-b352-a1921ee207ee}#{9527e630-d0ae-497b-adce-e80ab0175caf}","SUCCESS","Index: 0, Name: #"
"3:39:44.0278471 PM","svchost.exe","564","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{9527e630-d0ae-497b-adce-e80ab0175caf}\##?#VMBUS#{2dd1ce17-079e-403c-b352-a1921ee207ee}#5&296c0f0e&0&{2dd1ce17-079e-403c-b352-a1921ee207ee}#{9527e630-d0ae-497b-adce-e80ab0175caf}\#","SUCCESS","Desired Access: Read"
"3:39:44.0278508 PM","svchost.exe","564","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{9527e630-d0ae-497b-adce-e80ab0175caf}\##?#VMBUS#{2dd1ce17-079e-403c-b352-a1921ee207ee}#5&296c0f0e&0&{2dd1ce17-079e-403c-b352-a1921ee207ee}#{9527e630-d0ae-497b-adce-e80ab0175caf}\#\Control","NAME NOT FOUND","Desired Access: Read"
