"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"2:30:19.3614847 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"2:30:19.3615009 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"2:30:19.3615155 PM","lsass.exe","652","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"2:30:19.3615370 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"2:30:19.3615437 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"2:30:19.3615568 PM","lsass.exe","652","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"2:30:19.3615744 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"2:30:19.3616727 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"2:30:19.3617644 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"2:30:19.3617781 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"2:30:19.3617906 PM","lsass.exe","652","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"2:30:19.3618085 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"2:30:19.3618144 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"2:30:19.3618267 PM","lsass.exe","652","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"2:30:19.3618437 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"2:30:19.3619256 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"2:30:19.3620622 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"2:30:19.3620756 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"2:30:19.3620884 PM","lsass.exe","652","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"2:30:19.3621063 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"2:30:19.3621125 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"2:30:19.3621248 PM","lsass.exe","652","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"2:30:19.3621418 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"2:30:19.3622231 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"2:30:19.3623186 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"2:30:19.3623320 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"2:30:19.3623446 PM","lsass.exe","652","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"2:30:19.3623625 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"2:30:19.3623686 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"2:30:19.3623809 PM","lsass.exe","652","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"2:30:19.3623980 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"2:30:19.3625114 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"2:30:19.3825712 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"2:30:19.3825902 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"2:30:19.3826067 PM","lsass.exe","652","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"2:30:19.3826396 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"2:30:19.3826466 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"2:30:19.3826595 PM","lsass.exe","652","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"2:30:19.3826768 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"2:30:19.3828246 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"2:30:19.3829819 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"2:30:19.3829972 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"2:30:19.3830112 PM","lsass.exe","652","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"2:30:19.3830313 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"2:30:19.3830377 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"2:30:19.3830512 PM","lsass.exe","652","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"2:30:19.3830696 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"2:30:19.3831920 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"2:30:19.4083005 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"2:30:19.4083197 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"2:30:19.4083365 PM","lsass.exe","652","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"2:30:19.4083608 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"2:30:19.4083681 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"2:30:19.4083820 PM","lsass.exe","652","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"2:30:19.4084019 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"2:30:19.4086413 PM","lsass.exe","652","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"2:30:19.5799670 PM","lsass.exe","652","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
