authors,title,abstract,sha,has_full_text,journal,term,license,WHO #Covidence,pmcid,pubmed_id,category,source_x,publish_time,Microsoft Academic Paper ID,doi,full_text_file
"Grace, Delia","Infectious Diseases and Agriculture","Synopsis • Agriculture has huge impacts on human health, both positive and negative • Agriculture has not been oriented to achieving health outcomes • The livestock sector creates a disproportionate share of risks and benefits • Health problems related to farming and food require solutions that include these sectors","bf3d980b6e60bf89e31ab70c4d8f41f1872e5274","True","Encyclopedia of Food Security and Sustainability","Synopsis|Agriculture|Agriculture","els-covid","","","","PERSON|ORG|ORG","Elsevier","2019-12-31","","10.1016/B978-0-08-100596-5.21570-9","custom_license"
"Venkatesan, Jayachandran; Keekan, Kishor Kumar; Anil, Sukumaran; Bhatnagar, Ira; Kim, Se-Kwon","Phlorotannins","Abstract Natural marine-derived compounds show excellent biological activities. Isolation, characterization and applications of marine derived compounds show a promising way to develop novel drugs to treat various diseases. Phlorotannins are one of the main compounds which are commonly isolated from the brown seaweeds. The structural unit of phlorotannins is made-up of polyphenolic units. Due to the unique structures, phlorotannins show a variety of biological activities such as antibacterial, antioxidant, anti-inflammatory, antiproliferative, antitumor, antidiabetics, radio protective, antiadipogenic, and anti-allergic effects. In the current chapter, we have discussed general information on phlorotannins, extraction procedure and their biological activities in detail. From the scientific literature, phlorotannins can be potentially useful in the development of pharmaceuticals, nutraceuticals and cosmeceuticals.","fda68ec4aff7804e5fc03db339dab5dec41588aa","True","Encyclopedia of Food Chemistry","one","els-covid","","","","CARDINAL","Elsevier","2019-12-31","","10.1016/B978-0-08-100596-5.22360-3","custom_license"
"Yun, Qidong","Chapter 8 Politics, Profit and Digital Prospect Guangdong Provincial Publishing Group as a Case","Abstract A case study of the Guangdong Provincial Publishing Group has revealed that Chinese publishing groups are still firmly controlled by the party-state. Although regional governments could protect their economic interests in local publishing industry, political control from the central party-state is firmly installed. The propaganda role of the publishing industry may have declined after the onset of economic reforms, but the ability of the party-state to maintain its political control has not been weakened, and may have even been strengthened. In spite of the corporatization, China’s publishing houses were never intended to be pure business entities, and many continue to rely on monopolistic profits or government subsidies for their financial viability. The digital transformation in publishers is heavily shaped and constrained by the institutional problems of the publishing industry.","9ca342485e40da93005c6cb173d6be104fb0eb64","True","China's Publishing Industry","the Guangdong Provincial Publishing Group|Chinese|China","els-covid","","","","ORG|NORP|GPE","Elsevier","2019-12-31","","10.1016/B978-0-08-100919-2.00008-5","custom_license"
"Padmanabhan, K.K.; Barik, Debabrata","Chapter 8 Health Hazards of Medical Waste and its Disposal","Abstract Medical waste is a source of generation of hazardous biomedical waste. Medical waste generation and disposal is an important aspect, especially in countries with poor hygiene and high population. Medical centers including hospitals, clinics, and places where diagnosis and treatment are conducted generate wastes that are highly hazardous and put people under risk of fatal diseases. Policies should be framed to avoid spread of infections by providing specification for handling waste for generation, segregation, collection, storage, transportation, and treatment. Awareness should be created at all levels of society through various means of communication and education, so that the risks of spreading the health hazards could be minimized. This chapter deals with medical waste, principles of waste management program, categories of health-care waste, parameters to be monitored in health-care waste, finances to be managed, and national plans for health-care waste.","f44ed5cadfbdaac27ce06a85411570bf4ac6ff26","True","Energy from Toxic Organic Waste for Heat and Power Generation","Awareness","els-covid","","","","ORG","Elsevier","2019-12-31","","10.1016/B978-0-08-102528-4.00008-0","custom_license"
"Nam, Nguyen Hoang; Luong, Nguyen Hoang","Chapter 7 Nanoparticles: synthesis and applications","Abstract This chapter focuses on the synthesis, functionalization, and applications of metallic, semiconductor, magnetic, and multifunctional nanoparticles. Synthesis methods such as chemical reduction, coprecipitation, seeding, microemulsion, hydrothermal synthesis, and sonoelectrodeposition are outlined. Functionalized nanoparticles are suitable for numerous applications. Several applications of nanoparticles in life sciences and the enviromment are discussed. Finally, some future trends are pointed out.","2355a9ce8e92e48ad33c483bff985218bdd4cf51","True","Materials for Biomedical Engineering","Synthesis|Functionalized","els-covid","","","","WORK_OF_ART|GPE","Elsevier","2019-12-31","","10.1016/B978-0-08-102814-8.00008-1","custom_license"
"Gui, Weijun; Paudel, Prajwal; Zhuang, Zhihao","Activity-Based Ubiquitin Probes for Investigation of Deubiquitinases","Abstract Ubiquitination is emerging as an important post-translational modification (PTM) for numerous cellular functions including protein degradation, DNA damage repair and tolerance, and cell cycle progression. Compared with other small-molecule modifiers found in phosphorylation, acetylation and glycosylation, ubiquitin is a small protein modifier that exists as either a single ubiquitin or a polyubiquitin chain. Furthermore, the polyubiquitin chains are formed via various linkages imparting an additional layer of specificity in cellular signaling. In order to adequately study ubiquitin signaling and particularly deubiquitination, a number of ubiquitin activity-based probes (ABPs) were developed and utilized in understanding the deubiquitinase (DUBs) function. Here, we focus on the current state of the DUB ABP development and their application in understanding DUB function and specificity for polyubiquitin chains and ubiquitinated proteins.","129ca9620487d597268964c705884f95d39861c8","True","Reference Module in Chemistry, Molecular Sciences and Chemical Engineering","DUB|DUB","els-covid","","","","ORG|ORG","Elsevier","2019-12-31","","10.1016/B978-0-12-409547-2.14672-4","custom_license"
"Butler, Colin D.; Higgs, Kerryn; McFarlane, Rosemary Anne","Environmental Health, Planetary Boundaries and Limits to Growth","Abstract Published almost 50years ago, the Limits to Growth remains relevant to contemporary environmental health, though, paradoxically, this relevance is scarcely recognized. The seminal ideas it presented provide a useful background, as do the later Planetary Boundaries analyses, with which to consider key issues in contemporary environmental health. To be more than reactive, it is necessary to understand the complexity and interactions of integrated environmental health risks, including the possibility of significant global population decline within the current century. This contribution provides an overview to the Limits to Growth, linking it especially to the “planetary boundaries” of climate change, biodiversity loss and novel entities (including artificial substances and genetically modified organisms). The gradual increase in the amount of primary energy required to generate useable energy is also argued to be an under-recognized contributing factor to the decline in real wages growth for much of the world’s population since then, although this aspect may be improving. These elements have positive and negative health effects, which we discuss.","336a882d9b844a8fb15a58a0e976e5ee236b1647","True","Encyclopedia of Environmental Health","the current century|the Limits to Growth","els-covid","","","","DATE|EVENT","Elsevier","2019-12-31","","10.1016/B978-0-12-409548-9.10651-7","custom_license"
"Radosavljevic, Vladan","Environmental Health and Bioterrorism☆","Abstract Environment has complex and permanent relations with the biological warfare in comparison to other war types (conventional, nuclear, chemical). Changes of the environment interfere with many of the major determinants of biological warfare. The most probable type and the key issue of biological war is bioterrorism. Bioterrorism is defined as a release of biological agents or toxins that affect human beings, animals, or plants with the intent to harm or intimidate. The essence of bioterrorism is a biological attack. Four components are required for a biological attack: perpetrators, agents, mediums/means of delivery, and targets.","9df16bee325f27a60ed786cb84b4f078d5647e73","True","Encyclopedia of Environmental Health","Four","els-covid","","","","CARDINAL","Elsevier","2019-12-31","","10.1016/B978-0-12-409548-9.11435-6","custom_license"
"Neill, P.E.; Arim, M.","Human Health Link to Invasive Species☆","Abstract Invasive species are currently a far-reaching, interdisciplinary topic given their broad impacts on biodiversity, economics, and human health, with representatives from all taxonomic levels (e.g., viruses, bacteria, algae, plants, invertebrates, large mammals). Researchers from different fields are working to build a framework for understanding how to best evaluate, quantify, and predict different kinds of impacts by non-indigenous species (NIS). In this context, there has been some controversy regarding the appropriate way to define invasive species and the invasion process, given the widespread use of these terms in both scientific and nonscientific frameworks. Although scientists have not unambiguously identified tax-independent characteristics that define all invasive species, the invasion process itself has been observed to progress through the same sequence of stages regardless of taxonomic identity (i.e., initial establishment, expansion, and saturation). Several non-exclusive hypotheses have been proposed to explain the successful establishment and spread of non-indigenous species in new environments. In the scenario of global change, species introductions and invasions are a major topic due to ecological impacts (e.g., changes in biodiversity), economic and social impacts (e.g., costs incurred for control or eradication or pests) and human health impacts (e.g., epidemics or increased exposure to hazards). Current research highlights the introduction and spread of non-indigenous species as both a consequence and cause of global change with repercussions on ecosystems, economies, and human societies.","b4ade483fc940506ea660bbcd63597d5f143e099","True","Encyclopedia of Environmental Health","Abstract Invasive|NIS","els-covid","","","","ORG|ORG","Elsevier","2019-12-31","","10.1016/B978-0-12-409548-9.11731-2","custom_license"
"Wang, Runming; Li, Hongyan; Sun, Hongzhe","Bismuth: Environmental Pollution and Health Effects☆","Abstract Although it has been used for centuries, bismuth remains one of the least understood elements in the periodic table. Metallic bismuth and bismuth compounds have been widely used in the manufacture of alloys, pigments, cosmetics, and pharmaceuticals. As a “green” heavy metal, the substitution of lead with bismuth in some industries may partially resolve the environmental problems related to heavy metal pollution. In health care, as bismuth has low toxicity to humans, bismuth-based drugs such as colloidal bismuth subcitrate (CBS), ranitidine bismuth citrate (RBC), bismuth subsalicylate (BSS), bismuth iodoform and radioactive bismuth (212Bi/213Bi) complexes have been developed and used in clinics to treat various diseases. In most cases, bismuth therapies exhibit high therapeutic efficacies and little side effects; nevertheless, there are still reported cases of bismuth toxicity caused by bismuth over-dosage.","c84d9479676dfdf0bd1ea0fcf249d83a7c87b806","True","Encyclopedia of Environmental Health","centuries|one|CBS|RBC|BSS|212Bi/213Bi","els-covid","","","","DATE|CARDINAL|ORG|ORG|ORG|CARDINAL","Elsevier","2019-12-31","","10.1016/B978-0-12-409548-9.11870-6","custom_license"
"Paintsil, E.; Cheng, Y.-C.","Antiviral Agents☆","Abstract Antiviral agents are drugs approved in the USA by the Food and Drug Administration (FDA) for the treatment or control of viral infections. Available antiviral agents mainly target stages in the viral life cycle. The target stages in the viral life cycle are; viral attachment to host cell, uncoating, synthesis of viral mRNA, translation of mRNA, replication of viral RNA and DNA, maturation of new viral proteins, budding, release of newly synthesized virus, and free virus in body fluids. Two important factors that can limit the utility of antiviral drugs are toxicity and the development of resistance to the antiviral agent by the virus. In addition, host phenotypic behaviors toward antiviral drugs because of either genomic or epigenetic factors could limit the efficacy of an antiviral agent in an individual. This article summarizes the most relevant pharmacologic and clinical properties of current antiviral agents, and targets for novel antiviral agents.","a14179b2fb219e7aeb002b678593cf2b3cb76662","True","Encyclopedia of Microbiology","USA|the Food and Drug Administration|FDA|RNA|Two","els-covid","","","","GPE|ORG|ORG|ORG|CARDINAL","Elsevier","2019-12-31","","10.1016/B978-0-12-801238-3.02387-4","custom_license"
"Schmedes, S.; Budowle, B.","Microbial Forensics☆","Abstract Biothreats are a high priority concern for public safety and national security. The field of microbial forensics was developed to analyze evidence associated with biological crimes in which microbes or their toxins are used as weapons. Microbial forensics is the scientific discipline dedicated to analyzing evidence from a bioterrorism act, biocrime, hoax, or inadvertent microorganism/toxin release for attribution purposes. Microbial forensics combines the practices of epidemiology with the characterization of microbial and microbial-related evidence to assist in determining the specific source of the sample, as individualizing as possible, and/or the methods, means, processes and locations involved to determine the identity of the perpetrator(s) of an attack.","979ccf3b318874351bcf5b1c01293b786f337ffb","True","Encyclopedia of Microbiology","Microbial","els-covid","","","","GPE","Elsevier","2019-12-31","","10.1016/B978-0-12-801238-3.02483-1","custom_license"
"Peña-López, Yolanda; Ramírez-Estrada, Sergio; Rello, Jordi","Ventilator-Associated Events: Definitions and Uses","Abstract The use of specific care bundles to control infection has been demonstrated to be effective, including ventilator-associated pneumonia (VAP). However, the proposal of VAP rates as a quality indicator has generated debate due a lack of a gold standard definition. In 2013, the Centers for Disease Control and Prevention (CDC) replaced surveillance definitions from VAP to other preventable conditions related to mechanical ventilation (ventilator-associated events: VAE), which may predict outcomes. This represents a new opportunity to overcome many of the weaknesses of traditional VAP surveillance and broadens the focus of surveillance encompassing other preventable conditions related to mechanical ventilation.","2e3213c7bbf8226230e73de34cda1f0c1a491d9e","True","Reference Module in Biomedical Sciences","VAP|VAP|2013|the Centers for Disease Control and Prevention|CDC|VAP|VAE|VAP","els-covid","","","","ORG|ORG|DATE|ORG|ORG|ORG|ORG|ORG","Elsevier","2019-12-31","","10.1016/B978-0-12-801238-3.11482-5","custom_license"
"Alenazi, Thamer H.; Arabi, Yaseen M.","Severe Middle East Respiratory Syndrome (MERS) Pneumonia","Abstract Middle East Respiratory Syndrome (MERS) is a viral respiratory infection, which ranges from asymptomatic infection to severe pneumonia and multiorgan failure, caused by a novel coronavirus named Middle East Respiratory Syndrome Coronavirus (MERS-CoV). Majority of cases have been reported from Saudi Arabia. MERS cases occur as sporadic cases or as clusters or hospital outbreaks. Dromedary camels are thought to be a host for MERS-CoV. Direct contact with dromedary camels within 14days prior to infection was identified as an independent risk factor for MERS. Diagnosis of MERS is based on a positive real-time reverse transcriptase polymerase chain reaction (rRT-PCR), obtained from a respiratory specimen. The mainstay of management of MERS-CoV infection is supportive care. There is no specific antiviral therapy for MERS-CoV infection at present, although several modalities of treatment options have been examined or are under investigation.","812323f9e0b58ce57f13ecd34459eef3e32ca025","True","Reference Module in Biomedical Sciences","Middle East Respiratory Syndrome Coronavirus|Saudi Arabia|14days|Diagnosis|CoV|CoV","els-covid","","","","ORG|GPE|DATE|PERSON|PERSON|PERSON","Elsevier","2019-12-31","","10.1016/B978-0-12-801238-3.11488-6","custom_license"
"Yates, Marylynn V.","Drinking Water Microbiology","Abstract Every year, on a global basis, billions of cases of illness result from ingestion of microorganisms in drinking water. The majority of these illnesses are caused by fecal contamination, resulting in diarrhea. In places where access to medical care is not readily available, diarrhea can lead to death from dehydration; unfortunately, 1.5 million people, many of whom are children, die annually as a result. There are hundreds of pathogens that may be present in fecal material, making it not feasible to analyze water for all of them. Thus, the microbiological quality of water is monitored using indicator organisms, such as coliform bacteria, enterococci, and/or bacteriophages, which are much simpler and less expensive to detect. The use of indicators, while not perfect, has resulted in a decrease in the incidence of waterborne disease.","7abfa9a78e233f70972c95e0b25a41c4d46d1785","True","Encyclopedia of Microbiology","Every year|billions|1.5 million|annually|hundreds","els-covid","","","","DATE|CARDINAL|CARDINAL|DATE|CARDINAL","Elsevier","2019-12-31","","10.1016/B978-0-12-801238-3.66123-8","custom_license"
