symbol_chr,P53KO-O1,p53KO-O2,p53KO-O-CAS1,p53KO-O-CAS2,p53KO-O-RAS1,p53KO-O-RAS2,WT-O1,WT-O2
1-Mar_chr8,0.5723402835283831,1.0,0.7626446886938573,0.7454700500679287,0.4228905992650165,0.1916468572545944,0.0317876294724761,0.02441363779113267
2-Mar_chr17,0.8555608827363133,1.0,0.8914225749278517,0.9381714173190712,0.7313776072708642,0.7114093214354542,0.6742663112972817,0.7626415306487031
3-Mar_chr18,0.1853244120140122,0.7503039985962691,0.9343170322917818,0.6943594580138356,0.44373217843026275,0.4909093830684178,0.6396211284792569,1.0
4-Mar_chr1,0.0,0.0,1.0,0.3522235667954746,0.0,0.0,0.0,0.0
5-Mar_chr19,0.9811030869044908,1.0,0.9079597134713727,0.9043906283369454,0.9230300123442547,0.8740748054737993,0.5311428221194674,0.6695793416984936
6-Mar_chr15,0.6642861852644277,0.7798778200817759,0.9773419224600014,0.9567882009019032,0.9375630080938376,0.9865891065248141,0.703958562488087,1.0
7-Mar_chr2,0.16776036924488766,0.5108648473103721,1.0,0.8952618195661078,0.3436317225618377,0.2796538649722631,0.31511763118616876,0.38357563404978473
8-Mar_chr6,0.46763482297265124,0.7724350038009025,0.3816402185022162,0.4012855638945729,0.850746876926921,0.807429109709314,0.798428528107477,1.0
9-Mar_chr10,0.2564054583411135,0.2537535154030692,1.0,0.8827224524238699,0.4356686246571535,0.36620646271949947,0.2389772990957864,0.37724254692662573
10-Mar_chr11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11-Mar_chr15,,,,,,,,
1-Sep_chr7,0.0619576136419934,0.0978854543882331,1.0,0.9116463172330859,0.034680255849645576,0.020065127882555912,0.011838069001432661,0.009523755827108285
2-Sep_chr1,0.4053767754169214,0.5265317857679835,1.0,0.9806910897226145,0.372952851285386,0.3128319162326948,0.250911513747234,0.3077212110012442
3-Sep_chr15,0.5037727145677396,0.5598854725639939,1.0,0.8799578530214218,0.21261382001726786,0.18090718963021704,0.0379756828532265,0.1711084115891708
4-Sep_chr11,0.8556824472813,1.0,0.7116342013243915,0.7336738627107235,0.5154645957868268,0.2895620074780138,0.4332187488367483,0.44082372379303886
5-Sep_chr16,0.6208983395852188,0.8181544835274556,0.8967287075626073,1.0,0.4125018423202964,0.3056739610373162,0.18935106182021097,0.18914656396466878
6-Sep_chrX,0.0825658549703394,0.16289319375967573,0.8986542391202859,1.0,0.08209837739533987,0.04428571973698361,0.021756174158294114,0.03922212857345135
7-Sep_chr9,0.2556153353887092,0.3157237121945443,0.9783127727675526,1.0,0.1462976988718503,0.14123007345492353,0.1017711426513311,0.13424722669704864
8-Sep_chr11,0.29578272378534987,0.5404298863588284,1.0,0.8285395840734312,0.30071275787699797,0.13437157811507977,0.1108822622717003,0.09815326807282149
9-Sep_chr11,0.3268365841452459,0.46736944848478534,1.0,0.9573399945120172,0.2796632460669856,0.21989277528763113,0.4361001514409435,0.3658203834844741
10-Sep_chr10,0.7221366422619524,0.8828248655408997,1.0,0.8221958571253063,0.5628236110802063,0.49263493767976313,0.5455941286790322,0.637347426056145
11-Sep_chr5,0.26102439667933436,0.39461123491296746,1.0,0.9120314577290444,0.15856363104044385,0.1250643099534238,0.14930293666529265,0.18960180320136952
12-Sep_chr16,0.0,0.0,1.0,0.7044471335909492,0.0,0.0,0.0,0.0
14-Sep_chr5,0.0,1.0,0.9779460501476829,0.0,0.0,0.0,0.0,0.849514022427459
