"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"The promise of quantum computing and quantum information theory - quantum parallelism","D. C. Marinescu","Sch. of Comput. Sci., Central Florida Univ., Orlando, FL, USA","19th IEEE International Parallel and Distributed Processing Symposium","","2005","","","3 pp.","","We introduce basic concepts and some of the applications of quantum computing and quantum information theory. We discuss first the physical limitations of solid state technology, then we present a few experiments which reveal quantum effects. We survey the basic principles of quantum mechanics necessary to understand the behaviour of quantum devices.","1530-2075","0-7695-2312","10.1109/IPDPS.2005.430","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1419938","","Quantum computing;Quantum mechanics;Concurrent computing;Information theory;Parallel processing;Physics computing;Solid state circuits;Computational modeling;Solid modeling;Databases","quantum computing;quantum entanglement;parallel processing;information theory","quantum computing;quantum parallelism;quantum information theory;solid state technology;quantum mechanics","","2","","","","","","","","IEEE","IEEE Conferences"
"Quantum communication and computation in quantum optics","H. J. Kimble; J. Buck; C. Fuchs; A. Furusawa; C. Hood; H. Mabuchi; T. Lynn; J. Sorensen; Q. Turchette; S. Van Enk; D. Vernooy; J. Ye","Norman Bridge Lab. of Phys., California Inst. of Technol., Pasadena, CA, USA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA","Technical Digest. Summaries of Papers Presented at the Quantum Electronics and Laser Science Conference","","1999","","","111","","Summary form only given. In the quantum optics group at Caltech, we are attempting to lay the foundations for quantum information science by way of advances on several fronts in optical physics. Within the setting of cavity QED, single atoms are strongly coupled to the field of a high finesse optical cavity at the single photon level, with current work directed toward trapping and localization of atoms inside the cavity. Although there are daunting technical problems to overcome, a principal scientific objective is the creation of quantum networks to implement fundamental quantum communication protocols and for distributed quantum computation. Beyond quantum information processing with internal atomic states and photons serving as qubits, we are also investigating algorithms for continuous quantum variables. A recent example is our realization of quantum teleportation for the quadrature amplitudes of a beam of light. The experiment utilizes squeezed-state entanglement to achieve unconditional quantum teleportation.","","1-55752-576","10.1109/QELS.1999.807377","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=807377","","Quantum computing;Optical computing;Atom optics;Teleportation;Information science;Physics;Optical coupling;Charge carrier processes;Protocols;Computer networks","quantum communication;quantum optics;quantum computing;quantum electrodynamics;radiation pressure;optical squeezing","quantum communication;quantum computation;quantum optics;quantum information science;cavity QED;strongly coupled single atoms;high finesse optical cavity field;localization of atoms;trapping of atoms;quantum networks;distributed computation;internal atomic states;photon qubits;continuous quantum variables;algorithms;quantum teleportation;quadrature amplitudes;squeezed-state entanglement","","","","","","","","","","IEEE","IEEE Conferences"
"Optical quantum control in a single quantum dot: toward a prototype semiconductor quantum computer","C. Piermarocchi; Pochung Chen; L. J. Sham; Xiaoqin Li; T. H. Stievater; Gang Chen; D. G. Steel","Dept. of Phys., California Univ., San Diego, La Jolla, CA, USA; Dept. of Phys., California Univ., San Diego, La Jolla, CA, USA; Dept. of Phys., California Univ., San Diego, La Jolla, CA, USA; NA; NA; NA; NA","2002 Summaries of Papers Presented at the Quantum Electronics and Laser Science Conference","","2002","","","235","","Summary form only given. We give a theoretical description of how a prototype quantum computer using a single dot would function. The basic element of a quantum computer is represented by a quantum unit of information, or qubit. In our case, the presence and absence of the exciton in a quantum dot constitutes a qubit and the up and down spin excitons in the same dot yield two qubits with a strong mutual interaction. With laser control of these two excitons in a dot, we have the makings of a two-qubit quantum computer.","","1-55752-708","10.1109/QELS.2002.1031360","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1031360","","Excitons;Quantum dots","quantum computing;quantum optics;biexcitons;semiconductor quantum dots","optical quantum control;single quantum dot;prototype semiconductor quantum computer;spin excitons;laser control;two-qubit quantum computer;biexcitons;exciton Rabi rotations;single qubit manipulations","","","","","","","","","","IEEE","IEEE Conferences"
"Quantum dot single photon sources","Y. Yamamoto","Stanford Univ., CA, USA","2003 European Quantum Electronics Conference. EQEC 2003 (IEEE Cat No.03TH8665)","","2003","","","317","","Summary form only given. Single-photon sources have recently been demonstrated using a variety of devices, including molecules, mesoscopic quantum wells, colour centers, trapped ions, and semiconductor quantum dots. These sources rarely emit two or more photons in the same pulse, compared to a Poisson-distributed source of the same intensity. Numerous applications for single-photon sources have been proposed in the field of quantum information. However, most, including linear-optical quantum computation, also require that consecutive photons have identical wave packets. For a source based on a single quantum emitter, the emitter must therefore be excited in a rapid or deterministic way, and interact little with its surrounding environment. Here, we test the indistinguishability of photons emitted by a semiconductor quantum dot in a microcavity through a Hong-Ou-Mandel-type two-photon interference experiment. We find that consecutive photons are largely indistinguishable, with a mean wave-packet overlap as large as 0.81, making this source useful in a variety of experiments in quantum optics and quantum information.","","0-7803-7733","10.1109/EQEC.2003.1314174","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1314174","","Quantum dots;US Department of Transportation;Stimulated emission;Optical computing;Quantum computing;Instruction sets;USA Councils;Laboratories;Optical pulses;Particle beam optics","semiconductor quantum dots;quantum computing;microcavities;two-photon processes;light interferometry;quantum optics;light sources","quantum dot single photon sources;linear-optical quantum computation;wave packets;single quantum emitter;microcavity;Hong-Ou-Mandel-type two-photon interference experiment;quantum optics;quantum information","","","","","","","","","","IEEE","IEEE Conferences"
"Three-dimensional nanobioelectronics: towards implementation of quantum information theory and quantum computing","S. E. Lyshevski","Dept. of Electr. Eng., Rochester Inst. of Technol., USA","5th IEEE Conference on Nanotechnology, 2005.","","2005","","","218","220 vol. 1","Recently, significant progress and far-reaching discoveries have been made in nanobioelectronics and nanoneuroscience that radically different from conventional electronics and neuroscience concepts. Novel fundamental theories have been emerged striving to coherently understand various aspects of information processing, computing, memory, and information propagation at the cell and brain levels. This paper examines the hypothesis that biomolecules may be utilized for quantum computation. Superpositions of dipole states of base pairs consisting of purine (A and G) and pyrimidine (C and T) nitrogenous complexes may play the role of qubits, and quantum communication (coherence, entanglement, non-locality) occur in the /spl pi/-region of the DNA molecule. This concept is examined in this paper with possible application in biomolecular nanobiocomputers.","1944-9399","0-7803-9199","10.1109/NANO.2005.1500733","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1500733","","Quantum computing;Quantum mechanics;Information theory;Logic gates;Genetic communication;Information processing;Molecular biophysics;DNA;Switches;Electronic mail","DNA;nanoelectronics;biomolecular electronics;molecular biophysics;quantum computing;information theory;biocomputing;neurophysiology;cellular biophysics","3D nanobioelectronics;quantum information theory;quantum computing;nanoneuroscience;conventional electronics;information processing;memory;information propagation;cell levels;brain levels;biomolecules;dipole states;base pairs;purine nitrogenous complexes;pyrimidine nitrogenous complexes;qubits;quantum communication;coherence;entanglement;nonlocality;DNA molecule;biomolecular nanobiocomputers","","","","","","","","","","IEEE","IEEE Conferences"
"Quantum information processing with optical fibers","P. Kumar; K. F. Lee; J. Chen; X. Li; P. L. Voss","Electr. & Comput. Eng. Dept., Northwestern Univ., Evanston, IL, USA; Electr. & Comput. Eng. Dept., Northwestern Univ., Evanston, IL, USA; Electr. & Comput. Eng. Dept., Northwestern Univ., Evanston, IL, USA; Electr. & Comput. Eng. Dept., Northwestern Univ., Evanston, IL, USA; Electr. & Comput. Eng. Dept., Northwestern Univ., Evanston, IL, USA","2005 Quantum Electronics and Laser Science Conference","","2005","1","","350","352 Vol. 1","Fiber-based sources of entangled photons offer some unique advantages over their crystal counterparts. We present our recent progress in the development of such sources and their applications in quantum information processing.","","1-55752-796","10.1109/QELS.2005.1548778","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1548778","","Information processing;Optical fibers;Optical fiber polarization;Quantum computing;Interferometers;Quantum mechanics;Quantum entanglement;Optical interferometry;Logic gates;Optical fiber couplers","optical information processing;quantum communication;quantum optics;quantum entanglement;optical materials;optical fibres","quantum information processing;optical fibers;entangled photons;crystal counterparts","","","","","","","","","","IEEE","IEEE Conferences"
"The quantum dot spectrometer","D. J. Brady; J. L. Jimenez","Dept. of Electr. & Comput. Eng., Illinois Univ., Urbana, IL, USA; NA","1999 Digest of the LEOS Summer Topical Meetings: Nanostructures and Quantum Dots/WDM Components/VCSELs and Microcavaties/RF Photonics for CATV and HFC Systems (Cat. No.99TH8455)","","1999","","","I3","I4","We describe the simulations and experiments on an electrically-tunable spectrally-sensitive photodetector based on inhomogeneous absorption in a self-assembled quantum dot array and resonant tunneling through a coupled quantum well layer. The basic structure of our device, the quantum dot spectrometer (QDS) is given. The key components are the quantum dot layer, which produces spectrally sensitive absorption and the coupling layer, which reads out spectral information as a function of the applied voltage, V. The coupling layer consists of a pair of coupled quantum wells. For certain applied bias voltages across the quantum wells, resonant transfer from the quantum dot layer to the collector layer occurs. We have constructed a preliminary device based on these concepts using the InAs-GaAs-AlAs material system.","","0-7803-5633","10.1109/LEOSST.1999.794631","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=794631","","Quantum dots;US Department of Transportation;Spectroscopy;Voltage;Electrons;Quantum computing;Absorption;Resonance;Composite materials;Photoluminescence","semiconductor quantum dots;resonant tunnelling devices;photodetectors;self-assembly;optical arrays;infrared spectrometers;quantum well devices;indium compounds;gallium arsenide;aluminium compounds;III-V semiconductors;semiconductor heterojunctions","quantum dot spectrometer;electrically-tunable spectrally-sensitive photodetector;inhomogeneous absorption;self-assembled quantum dot array;resonant tunneling;coupled quantum well layer;quantum dot layer;spectrally sensitive absorption;coupling layer;spectral information;applied voltage;coupled quantum wells;applied bias voltages;quantum wells;resonant transfer;collector layer;InAs-GaAs-AlAs material system;InAs-GaAs-AlAs","","1","","","","","","","","IEEE","IEEE Conferences"
"Generation of correlated photons via four-wave mixing in optical fibers","L. J. Wang; C. K. Hong; S. R. Friberg","NEC Res. Inst., Princeton, NJ, USA; NA; NA","Quantum Electronics and Laser Science Conference (QELS 2000). Technical Digest. Postconference Edition. TOPS Vol.40 (IEEE Cat. No.00CH37089)","","2000","","","21","","Summary form only given. Correlated and entangled single photon states have made possible many fundamental studies in quantum optics such as the Bell-type test of hidden variables and non-locality, explorations of quantum interference properties, and investigations of quantum information processing and quantum communications technologies such as quantum cryptography, quantum computing, and quantum teleportation. These correlated single photon states are traditionally generated via a spontaneous parametric down-conversion process using a /spl chi//sup (2)/ material. We propose and analyze the generation of entangled single photons using /spl chi//sup (2)/ parametric processes in optical fibers. Such processes provide a simple and inexpensive correlated photon source readily compatible with commercial communications technologies. It further affords high efficiency for coupling into single mode fibers for applications in quantum cryptography.","1094-5695","1-55752-608","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=901359","","Four-wave mixing;Optical fibers;Quantum computing;Quantum entanglement;Photonics;Communications technology;Cryptography;Fiber nonlinear optics;Nonlinear optics;Optical mixing","multiwave mixing;quantum optics;quantum cryptography;quantum communication;quantum computing;optical fibre communication;nonlinear optical susceptibility;optical frequency conversion;optical parametric devices;optical fibre couplers","correlated photons;four-wave mixing;optical fibers;correlated photon generation;correlated single photon state;entangled single photon states;fundamental studies;quantum optics;Bell-type test;hidden variables;nonlocality;quantum interference properties;quantum information processing;quantum communication;quantum cryptography;quantum computing;quantum teleportation;correlated single photon states;spontaneous parametric down-conversion process;/spl chi//sup (2)/ material;entangled single photons;/spl chi//sup (2)/ parametric processes;correlated photon source;commercial communications technologies;high efficiency;coupling;single mode fibers","","","","","","","","","","IEEE","IEEE Conferences"
"Single-photon source and quantum memory","T. B. Pittman; M. M. Donegan; M. J. Fitch; B. C. Jacobs; J. D. Franson","Appl. Phys. Lab., Johns Hopkins Univ., Laurel, MD, USA; Appl. Phys. Lab., Johns Hopkins Univ., Laurel, MD, USA; Appl. Phys. Lab., Johns Hopkins Univ., Laurel, MD, USA; Appl. Phys. Lab., Johns Hopkins Univ., Laurel, MD, USA; Appl. Phys. Lab., Johns Hopkins Univ., Laurel, MD, USA","Postconference Digest Quantum Electronics and Laser Science, 2003. QELS.","","2003","","","2 pp.","","We have experimentally demonstrated a new kind of single-photon source and a cyclical quantum memory device for photonic qubits. These initial experiments involved storage loops, active switching, and parametric down-conversion photon pairs.","","1-55752-749","10.1109/QELS.2003.238513","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1276039","","Optical interferometry;Quantum computing;Optical devices;Optical polarization;Nonlinear optics;Optical switches;Quantum entanglement;Jacobian matrices;Photonics Society;Optical computing","quantum optics;information storage;optical frequency conversion;quantum computing;electro-optical switches","single-photon source;quantum memory;photonic qubits;storage loops;active switching;parametric down-conversion;photon pairs","","","","","","","","","","IEEE","IEEE Conferences"
"Counterfactual quantum computation","O. Hosten; M. T. Rakher; J. T. Barreiro; N. A. Peters; P. G. Kwiat","Dept. of Phys., Illinois Univ., Urbana, IL, USA; Dept. of Phys., Illinois Univ., Urbana, IL, USA; Dept. of Phys., Illinois Univ., Urbana, IL, USA; Dept. of Phys., Illinois Univ., Urbana, IL, USA; Dept. of Phys., Illinois Univ., Urbana, IL, USA","2005 Quantum Electronics and Laser Science Conference","","2005","1","","365","367 Vol. 1","We present the first demonstration of Jozsa's ""counterfactual computation"", using an optical Grover's search algorithm. We put the algorithm in a superposition of ""running"" and ""not-running"", obtaining information even though the algorithm does not run.","","1-55752-796","10.1109/QELS.2005.1548783","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1548783","","Quantum computing;Photonic crystals;Optical retarders;Quantum entanglement;Quantum mechanics;Interference;Optical pumping;Liquid crystals;Optical computing;Databases","quantum computing;quantum optics;optical computing;quantum theory;search problems","counterfactual quantum computation;optical Grover's search algorithm","","","","","","","","","","IEEE","IEEE Conferences"
